facility,capability,status,public_evidence_date,evidence_url,evidence_summary,critical_unknown
NREL PVDPC,reference_detector_traceability,PUBLICLY_SUPPORTED,2026-08-27,https://www.nrel.gov/pv/pvdpc/primary-reference-cell-calibrations,"ISO 17025 primary/secondary reference-cell calibration; public page describes World Photovoltaic Scale traceability.","Confirm service applicability to the exact R2 reference detector and obtain certificate/source metadata."
NREL PVDPC,spectral_characterization,PUBLICLY_SUPPORTED,2026-08-27,https://www.nrel.gov/docs/fy06osti/40123.pdf,"Public characterization documentation describes spectral responsivity/QE and spectral-mismatch workflow; NREL facilities page includes organic PV and electro-optical characterization.","Confirm current service wavelength grid, raw export, and R2 DUT compatibility."
NREL PVDPC,linearity_characterization,PUBLICLY_SUPPORTED,2026-08-27,https://www.nrel.gov/pv/pvdpc/primary-reference-cell-calibrations,"Public instrumentation table describes a flux/linearity test bed spanning roughly 0.01 sun to several suns.","Confirm raw linearity export under the intended detector/source configuration."
NREL PVDPC,repeatability_campaign,NEEDS_CONFIRMATION,2026-08-27,https://www.nrel.gov/pv/facilities.html,"Broad PV measurement/certification capability is public, but no public evidence found for executing the frozen 30-session R2 repeatability/holdout protocol as requested.","Confirm willingness to preserve session/day/sweep hierarchy and prospective holdout."
NREL PVDPC,electrical_step_characterization,NEEDS_CONFIRMATION,2026-08-27,https://www.nrel.gov/pv/facilities.html,"No public evidence found for characterized ~100 mV step injection through the exact customer acquisition chain.","Confirm custom electrical reference-step capability, fixed range/filter/aperture, timestamps, and autorange-off operation."
NREL PVDPC,optical_step_characterization,NEEDS_CONFIRMATION,2026-08-27,https://www.nrel.gov/pv/facilities.html,"No public evidence found for repeated 0.05-to-2-sun time-resolved settling transients on the same small OPV pixel.","Confirm programmable intensity steps, temporal logging, dwell window, and small-device fixture compatibility."
NREL PVDPC,voc_intensity_acquisition,PARTIAL_PUBLIC_SUPPORT,2026-08-27,https://www.nrel.gov/docs/fy06osti/40123.pdf,"Public documentation describes PV electrical characterization versus light level; exact randomized 17-point R2 schedule is not documented.","Confirm 0.05-2 sun range, custom randomized order, raw timestamps, and same-pixel execution."
Fraunhofer ISE CalLab PV Cells,reference_detector_traceability,PUBLICLY_SUPPORTED,2026-08-27,https://www.ise.fraunhofer.de/en/rd-infrastructure/accredited-labs/callab/callab-pv-cells.html,"DAkkS ISO/IEC 17025 calibration laboratory; public page describes certificates and reference-cell calibration practice.","Confirm calibration route and certificate applicability for the exact R2 reference detector."
Fraunhofer ISE CalLab PV Cells,spectral_characterization,PUBLICLY_SUPPORTED,2026-08-27,https://www.ise.fraunhofer.de/en/rd-infrastructure/accredited-labs/callab/callab-pv-cells.html,"Public page states spectral responsivity capability from 300-2000 nm and experience with organic/thin-film cells.","Confirm raw source-spectrum acquisition at every R2 intensity and responsivity export format."
Fraunhofer ISE CalLab PV Cells,linearity_characterization,NEEDS_CONFIRMATION,2026-08-27,https://www.ise.fraunhofer.de/en/rd-infrastructure/accredited-labs/callab/callab-pv-cells.html,"Public page requires reasonably linear spectral responsivity and offers variable conditions, but the exact detector/source linearity characterization requested by v3.27 is not explicit.","Confirm detector/source linearity test and raw data over 0.05-2 sun."
